Table Coordinates: (0.0, -0.099976, 612.1, 792.000024), Width: 612.1, Height: 792.1
Table Coordinates: (128.06, 350.09, 128.54001, 350.57000999999997), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (128.06, 350.09, 128.54001, 350.57000999999997), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (128.54, 350.09, 209.084, 350.57000999999997), Width: 80.54400000000001, Height: 0.48000999999999294
Table Coordinates: (209.09, 350.09, 209.57001, 350.57000999999997), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (209.57, 350.09, 299.09, 350.57000999999997), Width: 89.51999999999998, Height: 0.48000999999999294
Table Coordinates: (299.09, 350.09, 299.56998, 350.57000999999997), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (299.57, 350.09, 398.594, 350.57000999999997), Width: 99.024, Height: 0.48000999999999294
Table Coordinates: (398.59, 350.09, 399.06998, 350.57000999999997), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (399.07, 350.09, 484.054, 350.57000999999997), Width: 84.98399999999998, Height: 0.48000999999999294
Table Coordinates: (484.06, 350.09, 484.54001, 350.57000999999997), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (484.06, 350.09, 484.54001, 350.57000999999997), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (128.06, 334.01, 128.54001, 350.09), Width: 0.48000999999999294, Height: 16.079999999999984
Table Coordinates: (209.09, 334.01, 209.57001, 350.09), Width: 0.48000999999999294, Height: 16.079999999999984
Table Coordinates: (299.09, 334.01, 299.56998, 350.09), Width: 0.47998000000001184, Height: 16.079999999999984
Table Coordinates: (398.59, 334.01, 399.06998, 350.09), Width: 0.47998000000001184, Height: 16.079999999999984
Table Coordinates: (484.06, 334.01, 484.54001, 350.09), Width: 0.48000999999999294, Height: 16.079999999999984
Table Coordinates: (128.06, 333.53, 128.54001, 334.01000999999997), Width: 0.48000999999999294, Height: 0.48000999999999294
